n,K,...1,...2,...3,...4
200,30,33.71249716255496,4.844724136552815,24.085727503130766,11.730175287817497
200,100,12.14647563182529,7.384282904304275,12.72712261336714,13.503329824770377
200,1000,9.301930459155693,6.1038737174225615,9.637361727066136,10.74868276737675
1000,30,11.047208477840625,1.4404199873779975,11.174969166934996,1.7872319365288494
1000,100,9.202097513492872,2.5250347998918863,9.150983864239056,2.6200839439666934
1000,1000,9.084036959085694,2.1439774126615436,9.113293210003379,2.3697965017631466
10000,30,9.163697500194363,0.2919637881622692,9.1622896279649,0.2945113625201964
10000,100,8.815024085812434,0.45836991535550975,8.820028154801447,0.45675592045695035
10000,1000,8.975797763188162,0.20671180671972061,8.974882225040483,0.20657503316527323
50000,30,9.016308837690902,0.22501222488785017,9.01517970575084,0.22421489998350463
50000,100,8.983115036449126,-0.07236091853167939,8.983133745244476,-0.07288414105912186
50000,1000,8.993256950606595,-0.006011073875299172,8.993158057056512,-0.006065519431544736
